"id","name","ruleType","phoneNumber","labelId","priority","action","isEnabled","pattern","avatar","isSubscribed","count"
"","Teambition","phone_rule","4000605576","application_software","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/Teambition.png","1","0"
"","WPS","phone_rule","4006775005","application_software","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/WPS.png","1","0"
"","ToDesk","phone_rule","089865337739","application_software","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/todesk.png","1","0"
"","多邻国","phone_rule","+1(412)5676602","application_software","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/多邻国.png","1","0"
"","孔网","phone_rule","01062620698","application_software","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/孔网.png","1","0"
"","学习强国","phone_rule","12361","application_software","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/学习强国.png","1","0"
"","小猿搜题","phone_rule","01059344888","application_software","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/小猿搜题.png","1","0"
"","微博","phone_rule","4000960960","application_software","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/微博.png","1","0"
"","明道云","phone_rule","01053153053","application_software","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/明道云.png","1","0"
"","极客时间","phone_rule","01053934972","application_software","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/极客时间.png","1","0"
"","知乎","phone_rule","01061190680","application_software","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/知乎.png","1","0"
"","飞书","phone_rule","4000682666","application_software","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/飞书.png","1","0"
"","高德地图","phone_rule","4008100080","application_software","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/应用软件/高德地图.png","1","0"
